Warps, FLOPS
96, 3.27856e+12
192, 6.55188e+12
288, 9.80012e+12
384, 1.30736e+13
480, 1.61785e+13
576, 1.93641e+13
672, 2.2421e+13
768, 2.49822e+13
864, 1.50135e+13
960, 1.66719e+13
1056, 1.78662e+13
1152, 1.9457e+13
1248, 2.07132e+13
1344, 2.22522e+13
1440, 2.25331e+13
1536, 2.34946e+13
1632, 2.03718e+13
1728, 2.15213e+13
1824, 2.1973e+13
1920, 2.31925e+13
2016, 2.37024e+13
2112, 2.48594e+13
2208, 2.4069e+13
2304, 2.50546e+13
2400, 2.07811e+13
2496, 2.14922e+13
2592, 2.22182e+13
2688, 2.29134e+13
2784, 2.36144e+13
2880, 2.43668e+13
2976, 2.50822e+13
3072, 2.54694e+13
3168, 2.31371e+13
3264, 2.33909e+13
3360, 2.37131e+13
3456, 2.41619e+13
3552, 2.46067e+13
3648, 2.51217e+13
3744, 2.57141e+13
3840, 2.59108e+13
3936, 2.46636e+13
4032, 2.45709e+13
4128, 2.49995e+13
4224, 2.51356e+13
4320, 2.54225e+13
4416, 2.56116e+13
4512, 2.60286e+13
4608, 2.62749e+13
